long,lat,group,order,region,subregion,lat_trunc,long_trunc
-72.14684295654297,41.0123176574707,4,348,new york,long island,41,-72.1
-72.10100555419922,41.006587982177734,4,349,new york,long island,41,-72.1
-72.04371643066406,41.01804733276367,4,350,new york,long island,41,-72
-72.00933837890625,41.04096603393555,4,351,new york,long island,41,-72
-71.9806900024414,41.05815505981445,4,352,new york,long island,41.1,-72
-71.92911529541016,41.07534408569336,4,353,new york,long island,41.1,-71.9
-71.8890151977539,41.07534408569336,4,354,new york,long island,41.1,-71.9
-71.87755584716797,41.06961441040039,4,355,new york,long island,41.1,-71.9
-71.88328552246094,41.04669952392578,4,356,new york,long island,41,-71.9
-71.90047454833984,41.02950668334961,4,357,new york,long island,41,-71.9
-72.02652740478516,40.98939895629883,4,358,new york,long island,41,-72
-72.11820220947266,40.95502471923828,4,359,new york,long island,41,-72.1
-72.24424743652344,40.9149169921875,4,360,new york,long island,40.9,-72.2
-72.347381591796875,40.85762023925781,4,361,new york,long island,40.9,-72.3
-72.55364227294922,40.806053161621094,4,362,new york,long island,40.8,-72.6
-72.82293701171875,40.70865249633789,4,363,new york,long island,40.7,-72.8
-73.05211639404297,40.645626068115234,4,364,new york,long island,40.6,-73.1
-73.16670989990234,40.61697769165039,4,365,new york,long island,40.6,-73.2
-73.206817626953125,40.61697769165039,4,366,new york,long island,40.6,-73.2
-73.22400665283203,40.62270736694336,4,367,new york,long island,40.6,-73.2
-73.21827697753906,40.639896392822266,4,368,new york,long island,40.6,-73.2
-73.17243957519531,40.645626068115234,4,369,new york,long island,40.6,-73.2
-73.1380615234375,40.645626068115234,4,370,new york,long island,40.6,-73.1
-72.94898986816406,40.70865249633789,4,371,new york,long island,40.7,-72.9
-72.76564025878906,40.76594543457031,4,372,new york,long island,40.8,-72.8
-72.67396545410156,40.78886413574219,4,373,new york,long island,40.8,-72.7
-72.65677642822266,40.80032730102539,4,374,new york,long island,40.8,-72.7
-72.65677642822266,40.81178283691406,4,375,new york,long island,40.8,-72.7
-72.67969512939453,40.8175163269043,4,376,new york,long island,40.8,-72.7
-72.76564025878906,40.79459762573242,4,377,new york,long island,40.8,-72.8
-72.80574798583984,40.78886413574219,4,378,new york,long island,40.8,-72.8
-72.83438873291016,40.777408599853516,4,379,new york,long island,40.8,-72.8
-72.885955810546875,40.75448989868164,4,380,new york,long island,40.8,-72.9
-72.977630615234375,40.737300872802734,4,381,new york,long island,40.7,-73
-73.01773834228516,40.737300872802734,4,382,new york,long island,40.7,-73
-73.04638671875,40.737300872802734,4,383,new york,long island,40.7,-73
-73.08649444580078,40.72010803222656,4,384,new york,long island,40.7,-73.1
-73.120880126953125,40.72010803222656,4,385,new york,long island,40.7,-73.1
-73.1552505493164,40.7258415222168,4,386,new york,long island,40.7,-73.2
-73.160980224609375,40.70865249633789,4,387,new york,long island,40.7,-73.2
-73.18389892578125,40.69719314575195,4,388,new york,long island,40.7,-73.2
-73.252655029296875,40.70292282104492,4,389,new york,long island,40.7,-73.3
-73.26984405517578,40.68000411987305,4,390,new york,long island,40.7,-73.3
-73.298492431640625,40.68000411987305,4,391,new york,long island,40.7,-73.3
-73.35005950927734,40.68000411987305,4,392,new york,long island,40.7,-73.4
-73.36724853515625,40.66281509399414,4,393,new york,long island,40.7,-73.4
-73.40162658691406,40.6513557434082,4,394,new york,long island,40.7,-73.4
-73.46464538574219,40.639896392822266,4,395,new york,long island,40.6,-73.5
-73.4990234375,40.645626068115234,4,396,new york,long island,40.6,-73.5
-73.53913116455078,40.6341667175293,4,397,new york,long island,40.6,-73.5
-73.65372467041016,40.61124801635742,4,398,new york,long island,40.6,-73.7
-73.68810272216797,40.61124801635742,4,399,new york,long island,40.6,-73.7
-73.71675109863281,40.57686996459961,4,400,new york,long island,40.6,-73.7
